Question,op1,op2,op3,op4,ans
 মোজাইক নামে ব্রাউজার তৈরি হয় কত সালে?, ১৯৯০ সালে, ১৯৯৩ সালে, ১৯৯৪ সালে, ১৯৮৯ সালে,op2
 একটি ওয়েবসাটের সকল বিষয়বস্ত ও উপস্থাপনার কার্যগত অবকাঠামোই-, ওয়েব সাইট, ওয়েব পেইজ, ওয়েব সাইটের কাঠামো, মূল পেইজ,op3
 মূলত হোম পেইজ হচ্ছে-, এক ধরনের বিষয়, এক ধরনের সূচি, মূল বিষয়, কাঠামোর সূচি,op2
 একাধিক স্ট্রাকচার ব্যবহার করে ওয়েব সাইট ডিজাইন করা হয় তাকে কী বলে?, Hierarchical স্ট্রাকচার, Network স্ট্রাকচার, Linear স্ট্রাকচার, Combination স্ট্রাকচার,op4
 HTML প্রাথমিক রূপ লাভ করে কখন?, ১৯৭০ সালে, ১৯৯৫ সালে, ১৯৮০ সালে, ১৯৯৪ সালে,op1
 সরাসরি ওয়েব সাইট তৈরির জন্য নিচের কোন সফটওয়্যার ব্যবহার করা হয়?, HTML Editor, Macromedia Firework, Macromedia Dreamweaver, Flash,op3
 নিচের কোন স্ট্রাকচারটি সবচেয়ে জটিল প্রকৃতির?, Tree Structure Site, Web-Linked Structure Site, Sequence Structure Site, Star Structure Site,op1
 ≺h1≻ অর্থ কী?, একটি প্যারাগ্রাফ বর্ণনা করা, একটি হরিজন্টাল রুল বর্ণনা করা, এক লাইন ফাঁকা তৈরি করা, একটি কমান্ড বর্ণনা করা,op1
 কোড লেখার আগে পরে নির্দিষ্ট কিছু চিএসহ নির্ধারিত কিছু শব্দ ব্যবহার করা হয় এগুলোকে কী বলে?, ট্যাগ, বর্ণ, ফন্ট, হেডিং,op1
 HTML লিংকের সিনটেক্সে url এর স্থলে কী দিতে হয়?, পূর্ণ ঠিকানা, বর্ণ, ফন্ট, হেডিং,op1
 ≺tr≻ ট্যাগ হলো-, Table, Tab Row, Table Repeat, Table Row,op4
 ১৯৮০ সালে HTML রচনা করেন কে?, টিম লি, রবার্ট টিমলি, টিম বার্নার লি, রবার্ট লি,op3
 HTML.5 ভার্সন প্রকাশিত হয় কখন?, ১৯৯১ সালে, ২০০০ সালে, ২০১২ সালে, ১৯৯৪ সালে,op3
 সাধারন ওয়েব পেইজ তৈরির জন্য কী লিখতে হয়?, অল্প কোড, একটি কোড, প্রচুর কোড, দুটি কোড,op3
 HTML এর নিরাপত্তা ব্যবস্থা কেমন?, দুর্বল, সবল, খুব দুর্বল, খুব সবল,op3
 HTML ফাইলের মধ্যে কোনো কমেন্ট দেওয়ার ট্যাগ কোনটি?, <1>, <.>, <>, <>,op2
 HTML এর ট্যাগগুলো কী দ্বারা বেষ্টিত থাকে?, , { }, < >, উপরের কোনটিই নয়,op3
 ওয়েব পেইজকে সুন্দরভাবে ফুটিয়ে তোলার পন্থাকে কী বলে?, Layout, Sintax, Copy, Formatting,op4
 নিচের কোনটি Empty ট্যাগ?, ≺title/≻, ≺Blockquote/≻, ≺LI/≻, ≺Meta/≻,op3
 HTML এ ডকুমেন্ট টাইটেল থাকে কোন সেকশনে?, Body Section, Paragaph Section, Head Section, Hyperlink Section,op3
 একটি ডকুমেন্টের সাথে আরেকটি ডকুমেন্টের সংযোগ স্থাপন করা হয় নিচের কোন ট্যাগ ব্যবহার করে?br>, মেটা ট্যাগ, স্টাইল ট্যাগ, বেস ট্যাগ, লিংক ট্যাগ,op4
 টেবিল তৈরি করার জন্য নিচের কোন ট্যাগটি দিতে হবে?, ≺tr/≻, ≺table/≻, ≺td/≻, ≺hr/≻,op2
 টেবিলের প্রতিটি কলামের উপরের অংশে তথ্যে শিরোনামকে কী বলে?, টেবিল হেডিং, বডি, কলাম, সারি,op1
 টেবিলের সারি ও কলামের সংযোগস্থলকে কী বলে?, সারি, সংযোগস্থল, কলাম, সেল,op4
 ইমেজ লোড না হলে টেক্সট দেখাবে নিচের কোন অ্যাট্রিবিউট?, img, src, alt, class,op3
 একটি ফ্রোম অপর ফ্রেম কেমন?, আলাদা, ভিন্ন, স্বাধীন, মুক্ত,op3
 প্রতিটি ফ্রেম সেট নির্ধারণ করে কোনটি?, একটি সারি, একটি সারি বা কলাম, একটি কলাম, একটি টেবিল,op2
 HTML ৫ এ লে-আউটকে সাধারণত কয়টি ট্যাগের মাধ্যমে করা হয়?, ২টি, ৪টি, ৩টি, অসংখ্য,op1
 HTML হেডিং কোনটি?, ≺h1≻ to ≺h5≻, ≺h1≻ to ≺h4≻, ≺h1≻ to ≺h6≻, ≺h1≻ to ≺h7≻,op3
 হাইপারলিংক নির্দেশ দেওয়ার জন্য যে সফটওয়্যার ব্যবহার করা হয় তাকে কী বলে?, হাইপারলিংক সিস্টেম, হাইপারলিংক, হাইপার মিডিয়া, মিডিয়া,op1
 HTML এ লিংককে কয় ভাগে ভাগ করা যায়?, ২ভাগে, ৩ভাগে, ৪ভাগে, ৫ভাগে,op1
 ইমেজের বামে ও ডানে কী পরিমাণ জায়গা রাখতে চাই তা লেখার জন্য ব্যবহৃত হয় কোনটি?, vaspace, haspace, border, alt,op3
 JPES ফরম্যাটে কত বিট কালার সাপোর্ট পাওয়া যায়।, ৪ বিট, ৮ বিট, ১৬ বিট, ২৪ বিট,op3
 কোনটি গ্রাফিক্স সফটওয়্যার না?, Adobe Photoshop, PHP, Adobe Illustrator, Coral Draw,op2
 HTML এর ওপেনিং ট্যাগ কোনটি?, ≺html/≻, ≺html≻, ≺htl/≻, ≺htl/≻,op3
 HTML এর ক্লোজিং ট্যাগ কোনটি?, ≺/htl≻, ≺htl/≻, ≺/html≻, ≺/htlm/≻,op3
 কোন স্ট্রকচারের প্রত্যেকটি পেইজ হচ্ছে অনুক্রমিক?, লিনিয়ার, হায়ারকি, নেটওয়ার্ক, কম্বিনেশন,op2
 নিচের কোনটি দিয়ে স্ট্যাকি ওয়েব পেইজ তৈরি করা হয়?, PHP, ASP, JSP, HTML,op4
 ইন্টারনেট সেবা প্রধানকারী প্রতিষ্ঠান কোনটি ?, isp, ups, ips, aps,op1
 নিচের কোনটি INTERNAT EXPLORER বলা হয়?, Browser, Oracle, Database, pase,op1
 Google.com/yahoo কী?, Engine, Search Engine, Protocol, Email Address,op2
 একটি ডোমইন নেম এর ডট এর পর শেষ অংশকে কী বলে?, টপ লেবেল, টপ ডোমেইন, Last লেবেল ডোমেইন, Last ডোমেইন,op1
 টপ লেভেল ডোমেন সমূহেকে কয় ভাগে ভাগে করা যায়?, ২ভাগে, ৩ভাগে, ৪ভাগে, ৫ভাগে,op4
 Webpase.FIP  ইত্যাদি কে কী বলা হয়?, ওযাই-ফাই, নেটওয়ার্ক, টপোলজি, ইন্টারনেট ডকুমেন্ট,op4
 ডোমেইন নেম এর সাথে নিচের কোনটি থাকলে  শিক্ষা প্রতিষ্টান বোঝায়?,ac,gov,com,edu,op4
 ডাইনামিক ওয়েব পেইজের সাথে সম্পর্কযুক্ত হলো-,i. PHP,ii. ASP,iii. JSP,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ওয়েব সাইটের কাঠামো-,i. Home Page,ii. Main Sections,iii. Sub Sections,নিচের কোনটি সঠিক?,"i, ii ও iii"
 মূল পেইজ যুক্ত থাকে-,i. মূল প্রোগ্রাম,ii. ব্যানার,iii. অ্যানিমেশন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ওয়েব সাইটের কাঠামোর সেকশন হলো-,i. মূল পেইজ,ii. মূল সেকশন,iii. উপ সেকশন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 HTML এর ক্ষেএে -,i. ইন্টারনেটের সাথে সংযুক্ত এরূপ কোন তথ্য রাখার পেইজকে ওয়েব পেইজ বলে।,ii. মূল সেকশন,iii. উপ সেকশন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 HTML এ -,i. প্রতিটি ডকুমেন্ট ফ্রেম বলে।,ii. লিংকের সিনটেক্স url এর স্থলে পূর্ণ ঠিকানা দিতে হয়।,iii. <hr>  ট্যাগটি দ্বারা এক লাইন ফাকা করা হয়।,নিচের কোনটি সঠিক?,i ও ii
 HTML ব্যবহৃত হয়-,i. ইন্টারনেট তৈরিতে,ii. ইন্টারনেট পেইজ তৈরিতে,iii. ওয়েব সাইট তৈরিতে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 HTML এর ক্ষেএে -,i. HTML এ নিরাপত্তা ব্যবস্থা খুব শক্তিশালী।,ii. সাধারন ওয়েব পেইজ তৈরির জন্য প্রচুর কোড লিখতে হয।,iii. বড় কোড লেখাযুক্ত ওয়েব পেইজ চালানো বেশীরভাগ ক্ষেএে জটিলতার সৃষ্টি করে।,নিচের কোনটি সঠিক?,ii ও iii
 ট্যাগ-,"i.  আরম্ভ, ট্যাগ <h1>",ii. সমাপ্তি ট্যাগ <h1>,iii. জটিল প্রক্রিয়া,নিচের কোনটি সঠিক?,i ও ii
 কিছু কিছু ট্যাগ-,i. বৈশিষ্ট্য প্রকাশ করে।,ii. Empty ট্যাগ ব্যবহার করে।,iii. প্রতিটি ট্যাগ শুরু হয় < > চিহ্ন দ্বারা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 HTML লে আউট এর গুরুত্বপূর্ণ -,i. Header,ii. Footer,iii. Page Nunber,নিচের কোনটি সঠিক?,"i, ii ও iii"
 হেডিং এর ট্যাগ-,i. <h1> Biggest heading </h1>,ii. <h2> Smallest heading </h2>,iii. <h1> </h6>,নিচের কোনটি সঠিক?,"i, ii ও iii"
 টেবিল তৈরির সাথে সংশ্লিষ্ট কয়েকটি ট্যাগ হল-,i. <th>,ii. <tr>,iii. <thead>,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ওয়েব পেইজ ডিভাসের জন্য ফাইলের বর্ধিতাংশ,i.htm,ii.html,iii.doc,নিচের কোনটি সঠিক?,i ও ii
 HTML এ-,i. HTML  সহজে ব্যবহার ও অনুধাবন করা যায়,ii. সকল ব্রাউজার HTML কে সমর্থন করে না,iii. HTML বিনামূল্য ব্যাহার করা যায়,নিচের কোনটি সঠিক?,i ও iii
 নিচের তথ্যগুলো লক্ষ্য করি:,"i. একটি ডেটা সেলে ইমেজ, টেক্সট, ফটোগ্রাফ ইত্যাদি ব্যবহার করা যায় না",ii. টেবিলের প্রতিটি কলামের উপরের অংশে তথ্য শিরোনামকে টেবিল হেডিং বলে,iii. টেবিলে সারি ও কলামের সংযোগস্থলকে সেল বলে,নিচের কোনটি সঠিক?,ii ও iii
 HTML এ-,i. HTML কে ওয়েব পেইজ তৈরির সবচেয়ে বিমুদ্ধ ল্যাংঙ্গুয়েজ বলা হয়,ii. যেকোন অপারেটিং সিস্টেমের সাথে Notepad অথবা Wordpad নামক সাধারণ টেক্সট এডিটর সার্ভিস প্রোগ্রাম হিসেবে থাকে,iii. HTML কে তৈরি করেছেন টিম বার্নাস লি,নিচের কোনটি সঠিক?,"i, ii ও iii"
 আইপি অ্যাড্রেস সাধারণত লিখা হয়-,i. নম্বর দ্বারা,ii. টেক্সট দ্বারা,iii. ক্যারেক্টার দ্বারা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ওয়েব সাইটটিতে কোন  HTML ট্যাগ ব্যবহার করা হয়নি?, SEARCH, META, BODY, HEAD,"i, ii ও iii"
 নিচের কোনটি সার্চ ইঞ্জিন, Yahoo, Nortoni, Microsoft, Amazon,op1
 নতুন Browser Window তে Page খোলার জন্য কোন Command টি প্রযোজ্য?," target = ""-Self"""," target = ""-blank"""," target = ""-Parent"""," target = ""-top""",op2
 টেবিলে কয়টি বর্ডার দেওয়া হয়েছে?, ২টি, ৩টি, ১টি, কোনো বর্ডার নেই,op4
 নতুন ডকুমেন্ট নামকরণে ইশরাত কোন HTML ট্যাগটি ব্যবহার করেছে?, <table>, <ol>, <p>, <title>,op3
 CSS- এর পূর্ণরূপ কী?, Caseding Style Sheet, Compund Style Sheet, Compund Shorting System, Cacacing Simple Sheet,op1
 কত সালে তাদের প্রতিযোগিতামূলক ব্রাউজার রিলিজ করে?, ১৯৯৫ সালে, ১৯৯৬ সালে, ১৯৯৭ সালে, ১৯৯৮ সালে,op2
 অনেক বেশি তথ্যের ডিজাইনের ক্ষেএে নিচের কোনটি ভালো?, HTML, Java Script, CSS, RGB,op3
