Question,op1,op2,op3,op4,ans
 ৮টি ইনপুটের থেকে এনকোডারের আউটপুট পাওয়া যায়-,১৬টি,০৩টি,০২টি,০৪টি,op2
" যে ডিজিটাল বর্তনীয় মাধ্যমে আনকোডেড ডেটাকে কোডেড ডেটায় পরিনত করা হয়, তাকে কী বলে?",ডিকোডার,এনকোডার,উভয়ই,কোনটিই নয়,op2
 কোন গেইটের ইনপুট দুটি অসমান হলে আউটপুট ১ হবে-,XNOR গেইট,AND গেইট,OR গেইট,XOR গেইট,১৯০৭
 NAND গেইট - হিসেবে কাজ করে -,দুটি AND গেইট,দুটি NOT গেইট,দুটি OR গেইট,একটি AND গেইট,op1
 এককোডারের সাহায্যে যেকোন আলফানিউমেরিক বর্ণকে কোন কোডে পরিণত করা যায়?,Binary কোড,BCD কোড,ASCII কোড,সবগুলোই,op4
 বাইনারি নিয়মে গুণ করা মানে -,বার বার যোগ করা,বার বার বিয়োগ করা,বার বার গুণ করা,বার বার ভাগ করা,op1
 পূরক পদ্ধতিতে যোগের মাধ্যমে করা হয় -,বিয়োগের কাজ,যোগের কাজ,গুণের কাজ,ভাগের কাজ,op1
 যে বর্তনীতে দুটি ইনপুট যোগ করলে ১টি সাম ও ১টি ক্যারি থাকে তাকে বলে -,ফুল অ্যাডার,হাফ অ্যাডার,রেজিস্টার,ডিকোডার,op2
" যে সমবায় বর্তনীয় সাহায্যে যোগের কাজ করা হয়, তাকে বলে -",ফ্যারাডে,অ্যাডার,অ্যাড,ক্যাড,op2
 অ্যাডার কত প্রকার?,দুই প্রকার,তিন প্রকার,চার প্রকার,পাঁচ প্রকার,op1
  বিশেষ রেজিষ্টার কত প্রকার?,দুই প্রকার,তিন প্রকার,আট প্রকার,নয় প্রকার,op4
 ৫টি ফ্লিপ-ফ্লপ দ্বারা গঠিত একটি রিং কাইন্টারের স্টেট থাকে -,৫টি,১০টি,১৬টি,৩২টি,op4
 রেজিষ্টার হলো এমন একটি সমন্মিত সার্কিট যা গঠিত হয় একগুচ্ছ -,মেমোরি নিয়ে,ফ্লিপ-ফ্লপ ও গেইট নিয়ে,তার দিয়ে,গেইট দিয়ে,op2
  ইনপুটের উপর ভিত্তি করে কাউন্টার কত প্রকার?,দুই প্রকার,তিন প্রকার,চার প্রকার,পাঁচ প্রকার,op1
 ডেটা ট্রান্সফারের ভিত্তিতে রেজিষ্টারকে কতভাগে ভাগ করা যায়?,দুই ভাগে,তিন ভাগে,চার ভাগে,পাঁচ ভাগে,op2
 রেজিষ্টারের নতুন তথ্য রাখাকে কী বলে?, Coding,  Loading, Booting, Encounting,op2
 গঠন অনুসারে রেজিষ্টার কত প্রকার?,দুই প্রকার,তিন প্রকার,চার প্রকার,পাঁচ প্রকার,op1
 ১টি কাউন্টারের সবচেয়ে সরল সিকুয়েন্স হলো -,বাইনরি সিকুয়েন্স,প্যারালাল সিকুয়েন্স,অকটাল সিকুয়েন্স,ডেসিমেল সিকুয়েন্স,op1
" কাউন্টার সর্বাধিক যতগুলো গুণতে পারে, তাকে বলে -",ফ্লিপ ফ্লপ,মডিউলাস,ঘাত,তাওয়ার,op2
" যে সমবায় বর্তনীয় সাহায্যে যোগের কাজ করা হয়, তাকে বলে -",ফ্যারাডে,অ্যাডার,অ্যাড,ক্যাড,op2
 ইনপুট ক্লক পালসের উপর ভিত্তি করে কাউন্টার কত প্রকার?,দুই প্রকার,তিন প্রকার,চার প্রকার,পাঁচ প্রকার,op1
অ্যাসিনক্রোনাস কাউন্টার কত প্রকার?,দুই প্রকার,তিন প্রকার,চার প্রকার,পাঁচ প্রকার,op1
 সংখ্যা পদ্ধতি লিখে প্রকাশ করার জন্য ব্যবহার হয়-,(i) সাংকেতিক চিহ্ন,(ii) মৌলিক চিহ্ন,(iii) রোমান চিহ্ন,নিচের কোনটি সঠিক?,i ও ii
 বিভিন্ন ধরনের গণনা পদ্ধতির মধ্যে রয়েছে -,(i) রোমান,(ii)ব্যাবিলিয়ান,(iii) গ্রিক,নিচের কোনটি সঠিক?,"i, ii ও iii"
 একটি সংখ্যায় থাকতে পারে -,(i) পূর্ণাংশ,(ii) ভগ্নাংশ,(iii) র‌্যাডিক্স পয়েন্ট,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ৪৩৮ সংখ্যাটি হতে পারে -,(i) অকটাল,(ii) ডেসিম্যাল,(iii) হেক্সাডেসিম্যাল,নিচের কোনটি সঠিক?,ii ও iii
 একটি সংখ্যার মান বের করার জন্য ডেটার দরকার -,(i) সংখ্যাটিতে ব্যবহৃত অংকগুলোর নিজস্ব মান,(ii) সংখ্যা পদ্ধতির ভিত্তি,(iii) সংখ্যাটিতে ব্যবহৃত অংকগুলোর স্থানীয় মান,নিচের কোনটি সঠিক?,"i, ii ও iii"
 বাইনারি সংখ্যা পদ্ধতি সম্পর্কে ধারণা দেন -,(i) গটফ্রিড লিবনিজ,(ii) জর্জ বুল,(iii) মার্শাল ম্যাক,নিচের কোনটি সঠিক?,i ও ii
 ঋনাত্মক সংখ্যার ক্ষেত্রে সংখ্যার মান বোঝানোর জন্য পদ্ধতি অবলম্বন করা হয়-,(i) প্রকৃতমান গঠন,(ii) ১ -এর পরিপূরক গঠন,(iii) ২ -এর পরিপূক গঠন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 NAND গেইটে আউটপুট 1 পেতে হলে ইনপুট দিতে হবে -,"(i) A=0, B=1","(ii) A=1, B=0","(iii) A=1, B=1",নিচের কোনটি সঠিক?,i ও ii
 সমীকরণগুলো লক্ষ্য কর -,((i) A+AB=A,(ii) A(A+B)=A,(iii) (A+B)(A+C)A+BC,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ৬ দশমিক সংখ্যার মান-,(i) ১ম বিট চিহ্ন বিট,(ii) ৭ বিট হল ডেটা বিট,(iii) ৮ বিট রেজিষ্টারের ধনাত্মক মান ০০০০০১১০,নিচের কোনটি সঠিক?,"i, ii ও iii"
 NOR গেইট দিয়ে তৈরি করা যায় -,(i) AND গেইট,(ii) OR গেইট,(iii) XOR গেইট,নিচের কোনটি সঠিক?,i ও ii
 NOR এবং NAND গেইট দুটিকে বলা হয়-,(i) মৌলিক গেইট,(ii) যৌগিক গেইট,(iii) সার্বজনীন গেইট,নিচের কোনটি সঠিক?,ii ও iii
 কম্পিউটার কোন ধরনের সংখ্যা পদ্ধতি ব্যবহার করে?,দশমিক,বাইনারি,অকটাল,হেক্সাডেসিমেল,op2
 বাইনারি সংখ্যা পদ্ধতিতে মোট মৌলিক চিহ্ন বা অংক কয়টি?,১০টি,১৬টি,০২টি,০৮টি,op3
 একটি বাইনারি সংখ্যাকে কোন সংখ্যায় পরিণত করা যায়?,দশমিক ও অকটাল,অকটাল ও হেক্সাডেসিমেল,দশমিক ও হেক্সাডেসিমেল,"অকটাল, দশমিক ও হেক্সাডেসিমেল",op4
 বুলিয়ান অ্যালজেবরা  আবিষ্কার করেন?,ডি-মরগ্যান,জর্জ বুল,জন নেপিয়ার,নিউটন,op2
 নিচের কোনটি বুলিয়ান অ্যালজেরার মৌলিক ক্রিয়া?,OR গেইট,AND গেইট,NOT গেইট,NAND গেইট,op4
 তিনি উক্ত কোডটি কোন সংখ্যা পদ্ধতির মাধ্যমে লিখেছেন?,বাইনারি সংখ্যা পদ্ধতি,অকটাল সংখ্যা পদ্ধতি,দশমিক সংখ্যা পদ্ধতি,হেক্সাডেসিমেল সংখ্যা পদ্ধতি,op4
 DADA সমতুল্য দশমিক সংখ্যা কত?,১৫৫৩৩২,৫৬০২৬,৪৩৯৬২,১২৫৬৭২,op2
 DADA সমতুল্য অকটাল সংখ্যা কত?,১৫৫৩৩২,৫৬০২৬,৪৩৯৬২,১২৫৬৭২,op1
নিচের সারণিটি দেখ এবং ১১৫ ও ১১৬ নং প্রশ্নের উত্তর দাওঃ,,,A,B,
 উপরোক্ত সারনীটি কোন গেইটের?,NOT গেইট এর,OR গেইট এর,NAND গেইট এর,AND গেইট এর,op3
 নিচের কোনটি মৌলিক লজিক গেইট?,NOT গেইট,XOR গেইট,NAND গেইট,XNOR গেইট,op1
 এখানে S এর সমীকরণ কোনটি?, S=AB, S=A+B, S=A⊕B, S=A⊗B,op3
 উপরোক্ত বর্তনী দ্বারা কোন সমবায় বর্তনীকে বোঝানো হয়েছে?,ফুল অ্যাডার,কাউন্টার,রেজিষ্টার,হাফ অ্যাডার,op4
 একটি ফুল অ্যাডারে সামকে সরলীকরণের পর যে সমীকরণ পাওয়া যায় তা হলো-,S=A⊕B⊕Ci,S=A+B+Ci,S=ABC,S=A⊕B⊕Ci,op1
 উপরোক্ত সারনীটি কোন গেইটের?,NOT Gate এর,OR Gate এর,NAND Gate এর,AND Gate এর,op2
