Question,op1,op2,op3,op4,ans
 কোন ধরনের কমান্ডের সাহায্যে চালিত প্রোগ্রামকে অবজেক্ট ওরিয়েন্টে প্রোগ্রাম বলে?, টেক্রটভিত্তিক, বর্ণভিত্তিক, অবজেক্ট ভিত্তিক, কী-কোড ভিত্তিক,op3
 অবজেক্ট ওরিয়েন্টেড প্রোগ্রামিং এর বৈশিষ্ট কয়টি?, ৩টি, ২টি, ৪টি, ৫টি,op1
 নিচের কেনটি প্রাগ্রামিং ভাষা?, বাংলা, আরবি, ফরাসি, সি,op3
 সি প্রোগ্রামিং এ ক্যারেক্টার কত ভাগে ভাগ করা যায়?, ২ ভাগে, ৪ ভাগে, ৩ ভাগে, ৫ ভাগে,op2
 বিশেষ ধরনের ক্যারেক্টার কোনটি?, ‘’, ++, ∗∗,  < >,op4
 বিল্ড ইন ডেটা কত ধরনের?, ২ ধরনের, ৪ ধরনের, ৩ ধরনের, ৫ ধরনের,খ) ৪ ধরনের
 কাস্টম ডিফাইন্ড ডেটা কত প্রকার?, ১০  প্রকার, ৯  প্রকার, ৬  প্রকার, ৪  প্রকার,op4
 নিচের কোনটি কাস্টম ডিফাইন্ট ডেটা?, স্ট্রাকচার, ইউনিয়ন, এনিউমিরেশন, বেজ টাইট,op1
 নিচের কোন চিহ্ন দ্বারা সিঙ্গেল কোটেশন চিহ্নিত করা হয়?, ‘’, ++, **, < >,ক) ‘’
 ফ্লট টাইপ ভেরিয়েবলের জন্য মেমরিতে কত বাইট জায়গা দরকার হয়?, ২ বাইট, ৪ বাইট, ৩ বাইট, ৫ বাইট,খ) ৪ বাইট
 ডাবল ডেটা টাইপের জন্য মেমরীতে কত বিটের জায়গা দরকার হয়?, ৫৪ বিটের, ৫৬ বিটের, ৬৪ বিটের, ৩২ বিটের,op3
 কোন টেক্রটের সমস্বয়ে ধ্রুবককে কী বলে?, ইন্টেজার ধ্রুবক, ক্যারেক্টার ধ্রুবক, স্ট্রিং ধ্রুবক, ফ্লোটিং ধ্রুবক,op3
 ২৫০.৩০ এবং ৪৫০০.১৫২ হলো-, ইন্টেজার ধ্রুবক, ক্যারেক্টার ধ্রুবক, স্ট্রিং ধ্রুবক, ফ্লোটিং ধ্রুবক,op4
 দশমিক ছাডা ০-৯ পর্যন্ত সংখ্যাগুলো নিয়ে গঠিত হয়?, স্ট্রিং কনস্ট্যান্ট, কারেন্ট কনস্ট্যান্ট, ইন্টেজার কনস্ট্যান্ট, ফ্লোটিং পয়েন্ট,op3
 ইন্টিজার কনস্ট্যান্ট কত প্রকার?, ৩ প্রকার, ৪ প্রকার, ৫ প্রকার, ৬ প্রকার,op1
 সকল ফাংশনের বাইরে ঘোষনাকৃত চলককে কী বলে?, লোকাল চলক, অটমেটিক চলক, সর্বজনীন চলক, স্থির চলক,op3
 যে সকল অপারেটর এাকটির এটিমাত্র অপারেন্ড নিয়ে কাজ কওে তাদেরকে কী বলে?, বাইনারি অপারেটর, ইউনারি অপারেটর, অকটাল অপারেটর, দ্বি ইউনারি অপারেটর,op2
 এক্রপেশন কত প্রকার?, ৪ প্রকার, ৫ প্রকার, ২ প্রকার, ৩ প্রকার,op3
 ANSI স্ট্যান্ডার্ড অনুযায়ী সি-তে মোট তটি কী ওয়ার্ড থাকে?, ৩০টি, ৩১টি, ৩২টি, ৩৩টি,op3
 ANSI স্ট্যান্ডার্ড অনুযায়ী সি-তে মোট কতটি টোকেন ব্যবহার করা হয়?, ৬টি, ৫টি, ৪টি, ৭টি,op1
 স্টেটমেন্টের একটি হলো সাধারন স্টেটমেন্টে এবং অপরটি কী?, জটিল স্টেটমেন্ট, সর্বজনিন স্টেটমেন্ট, বাইনারী স্টেটমেন্ট, সহজ স্টেটমেন্ট,ক) জটিল স্টেটমেন্ট
 নিচের কেন কমান্ডটি ভুল?, Print(), scanf(), main(), getch(),op1
 সি ভাষায় নিচের কোন ফাংশন দ্বারা পড়ানো হয় ?, Print(), scanf(), main(), getch(),ক) Print()
 সি ভাষায় নিচের কোন ফাংশন দ্বারা বর্গমূল নির্নয় করা হয়?, Print(), sqrt(), abs(), scanf(),op2
 সি প্রোগ্রামে কয়টি পদ্ধতিতে ইনপুট দেওয়ার বেবস্থা আছে?, ২ প্রকার, ৩ প্রকার, ৪ প্রকার, ৫ প্রকার,op2
 সি ভাষায় কোন প্রোগ্রাম run করাতে কী press করতে হবে?, sfift + f9, ctrl + f7, ctrl + f9, sfift + f8,op3
 সি প্রোগ্রামে একটি string read করাতে কী কোড দিতে হবে?, % d, % x, % d, % s,op4
 কন্ট্রোল স্টেটমেন্ট কত প্রকার?, % s, % g, % u, % h,op4
 কন্ট্রোল স্টেমেন্ট কত প্রকার?, ২ প্রকার, ৪ প্রকার, ৩ প্রকার, ৫ প্রকার,op1
 কন্ট্রোল স্টেমেন্টের একটি কন্ডিশনাল কন্ট্রোল স্টেটমেন্ট হলে অপরটি-, লুপ স্টেটমেন্ট, লুপ কন্ট্রোল স্টেটমেন্ট, সার্বজনীন, বাহ্যিত স্টেটমেন্ট,খ) লুপ কন্ট্রোল স্টেটমেন্ট
 সমজাতীয় ডেটার জন্য কী ব্যাবহার করা হয়?, দ্বি-মাত্রিক অ্যারে, ত্রি-মাত্রিক অ্যারে, বিভিন্ন ধরনের অ্যারে, একই অ্যারে,op4
 একটি অ্যারেতে মোট কতগুলো একই জাতীয় ডেটা বাখা হবে তা কী দ্বারা নির্নয় করা হয়?, কলাম, অ্যারে, ইনডেক্র, সারি,op3
 লাইরেরী ফাংশন কত প্রকার?, ৩ প্রকার, ২ প্রকার, ৪ প্রকার, ৫ প্রকার,op2
 ফাংশনে ব্যবহারিত প্যারা মিটার কত প্রকার?, ২ প্রকার, ৩ প্রকার, ৪ প্রকার, ৬ প্রকার,op1
 কম্পিউটার বুঝতে পারে না-,i. বর্ণ,ii. জাত,iii. চিহৃ,নিচের কোনটি সঠিক?,i ও iii
 কম্পিউটার শুধু বুঝতে পারে-,i. off & on,ii. 0 & 1,iii. বিদ্যুতের উপস্থিতি ও অনুপস্থিতি,নিচের কোনটি সঠিক?,ii ও iii
 প্রয়োগের বৈশিষ্ট্যের ভিত্তিতে ভাষাগুলো হলো-,i. প্রক্রিয়া ভিত্তিক ভাষা,ii. সমস্যা ভিত্তিক ভাষা,iii. নির্বাহ ভিত্তিক ভাষা,নিচের কোনটি সঠিক?,i ও ii
 প্রোগ্রামিং রচনার বিভিন্ন ধরনের ভাষা যেমন-,i. সি++,ii. ফরট্রান,iii. জাভা ও বেসিক,নিচের কোনটি সঠিক?,"i, ii ও iii"
 যান্তিক ভাষা তৈরি হয়-,i. কম্পিউটারের ভাষা থেকে,ii. বাইনারি সংখ্যা পদ্ধতিতে,iii. ০ ও ১ অংক দিয়ে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 অ্যাসেম্বলি ভাষার কয়েকটি নির্দেশ হলো-,i. JMP,ii. DIV,iii. ADD,নিচের কোনটি সঠিক?,"i, ii ও iii"
 অ্যাসেম্বলি ভাষায় অপারেশন কোডগুলো হল-,i. ADD,ii. SUP,iii. MUL,নিচের কোনটি সঠিক?,i ও iii
 Fortran দিয়ে করা যায়-,i. হিসেব - নিকেশ,ii. ইঞ্জিনিয়ারিং হিসেব - নিকেশ,iii. সামরিক খাতে,নিচের কোনটি সঠিক?,ii ও iii
 Python এর ফাংশনাল প্রোগ্রামিং টুলস-,i. Lamda,ii. Filter,iii. Reduce,নিচের কোনটি সঠিক?,"i, ii ও iii"
 C++  প্রোগ্রামিং ভাষা-,i. বাণিজ্যিক প্রয়োগের ভাষা,ii. গাণিতিক প্রয়োগের ভাষা,iii. বৈজ্ঞানিক প্রয়োগের ভাষা,নিচের কোনটি সঠিক?,ii ও iii
 চতুর্থ প্রজন্মের ভাষা হলো,i. ন্যাচারাল ল্যাঙ্গুয়েজ,ii. অ্যাক্টরাল ল্যাঙ্গুয়েজ,iii. অতি উচ্চস্তরের ভাষা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 4GL এর ভাষা-,i. DS,ii. INTELECT,iii. ORACLE,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ন্যাচারাল ল্যাঙ্গুয়েজ-,i. যন্তের ভাষা,ii. মানুষের ভাষা,iii. প্রোগ্রামিং ভাষা,নিচের কোনটি সঠিক?,ii ও iii
 উৎস প্রোগ্রাম হলো-,i. অ্যাসেম্বলি ভাষায় রচিত,ii. উচ্চস্তরের ভাষায় রচিত,iii. যন্তিক ভাষায় রচিত,নিচের কোনটি সঠিক?,i ও ii
 অনুবাদক প্রোগ্রাম হলো-,i. অ্যাসেম্বলার,ii. ইন্টারপ্রেটার,iii. কম্পাইলার,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কম্পাইলার সম্পূর্ণ প্রোগ্রামটি-,i. একসাথে পড়ে,ii. বানান সংশোধন করে,iii. একসাথে অনুবাদ করে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ইন্টারপ্রেটার উৎস প্রোগ্রামের-,i. এক লাইন পড়ে এবং অন্য লাইনে যায়,ii. যান্তিক ভাষায় অনুবাদ করে,iii. ভূল সংশোধন করে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 প্রোগ্রামে ভূল হতে পারে-,i. Data error,ii. Logoical error,iii. Syntax error,নিচের কোনটি সঠিক?,"i, ii ও iii"
 সুডোকোড হলো-,i. অ্যালগোদিরম ধাপসমূহের চিত্ররূপ,ii. ছদ্ম প্রোগ্রাম,iii. কিছু সংখ্যক নিদের্শের সমাহার,নিচের কোনটি সঠিক?,ii ও iii
 কোনো প্রোগ্রাম লেখার কাজ শেষ করার পর যেসব ক্রটি থাকতে পারে সেগুলো হলো-,i. নির্বাহজনিত ক্রটি,ii. যুক্তি সংক্রান্ত ক্রটি,iii. চিহাদির ক্রটি,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ফ্লোচার্টের মৌলিক ছাঁচ-,i. চক্র,ii. জাম্প,iii. সরল অনুক্রম,নিচের কোনটি সঠিক?,"i, ii ও iii"
 প্রোগ্রাম ডিজাইনের মডেলগুলো-,i. স্ট্রাকচার্ড প্রোগ্রামিং,ii. ভিজুয়্যাল প্রোগ্রামিং,iii. অবজেক্ট ওরিয়েন্টেড প্রোগ্রামিং,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ভিজুয়্যাল বেসিক প্রোগ্রামিং এ ব্যবহার করা হয়-,i. টেক্স বক্স কন্ট্রোল,ii. লেভেল কন্ট্রোল,iii. লিস্ট বক্স কন্ট্রোল,নিচের কোনটি সঠিক?,"i, ii ও iii"
 সি প্রোগ্রাম এর বৈশিষ্ট্য-,i. প্রতিটি স্টেমেন্টের শেষে সেমিকোলন দিতে হয়,ii. একটি মন্তব্যের মধ্যে আর একটি মন্তব্য দেওয়া হয়,iii. প্রোগ্রাম শুরু হয় একটি ফাংশন main() এর মাধ্যমে,নিচের কোনটি সঠিক?,i ও iii
 মেমোরিতে ডেটা জায়গা দখল করে-,i. ফ্লোটিং ডেটা টাইপে ৬ বাইট,ii. ডাবল ডেটা টাইপে ৮ বাইট,iii. ক্যারেক্টার ডেটা টাইপে ১ বাইট,নিচের কোনটি সঠিক?,ii ও iii
 C সমর্থন করে-,i. ফান্ডামেন্টাল ডেটা টাইপ,ii. ডিরাইভড ডেটা টাইপ,iii. এম্পটি ডেটা টাইপ,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ডাবল ডেটা টাইপ-,i. ১ম ৫২ বিট,ii. পরবর্তী ১১টি বিট,iii. শেষ বিটটি সাইন বিট,নিচের কোনটি সঠিক?,"i, ii ও iii"
 রিলেশনাল অপারেটর হলো-,"i. <,>","ii. =<,>=",iii. = =,নিচের কোনটি সঠিক?,"i, ii ও iii"
 Array Variable হতে পারে-,i. একমাত্রিক,ii. দ্বিমাত্রিক,iii. বহুমাত্রিক,নিচের কোনটি সঠিক?,"i, ii ও iii"
C -তে লজিক্যাল অপারেটর হল-,i. AND,ii. OR,iii. NOT,নিচের কোনটি সঠিক?,"i, ii ও iii"
" বহুল ব্যবহুত ইনপুট স্টেটমেন্ট scanf(), যার সাহায্যে ইনপুট দেওয়া যায়-",i. int,ii. char,iii. float,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কন্ডিশনাল কন্ট্রোল স্টেটমেন্ট হলো-,i. if statement,ii. if else statement,iii. nested if,নিচের কোনটি সঠিক?,"i, ii ও iii"
 C প্রোগ্রামিং এর হেডার ফাইল-,i. stdio.h,ii. math.h,iii. conio.h,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কয়েকটি লাইবেরী ফাংশন-,i. print(),ii. Show(),iii. Scanf(),নিচের কোনটি সঠিক?,i ও iii
 ফাংশনের অংশগুলো হচ্ছে-,i. Function definition,ii. Function calling,iii. Function return,নিচের কোনটি সঠিক?,"i, ii ও iii"
নিচের উদ্দিপকটি পড় এবং ১২৯ হতে ১৩১ নং প্রশ্নগুলো উত্তর দাওঃ,#include,main(),{,float a;,
