Question,op1,op2,op3,op4,ans
 Action QUERY এর অধীনে -,i. make up QUERY,ii. update QUERY,iii. append QUERY,নিচের কোনটি সঠিক?,"i, ii ও iii"
  ডেটাবেজের ম্যানেজমেন্টের কার্যাবলি-,i. ডেটা স্টোরেজ ম্যানেজমেন্ট,ii. ডেটাবেজে মাল্টি ইউজার একসেস কন্ট্রোল,iii. ডেটাবেজ কমিনিকেশন ইন্টারফেস,নিচের কোনটি সঠিক?,"i, ii ও iii"
 DBMS এর ব্যবহার করা হয় -,i. আথিক প্রথিষ্ঠানে,ii.  শিক্ষা প্রথিষ্ঠানে,iii.  ডেবিট/কেডিট কার্ড,নিচের কোনটি সঠিক?,"i, ii ও iii"
 DBMS এর কাজ -,i. ডেটাবেজ সৃজন,ii. ডেটাবেজ ইন্টারোগেসন,iii. ডেটাবেজ রক্ষনাবেক্ষন,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ডেটা টেবিল সর্টি করে সাজানো যায় -,i. Ascending,ii. Descending,iii. Searching,নিচের কোনটি সঠিক?,i ও ii
 ডেটাবেজের অন্তরভুক্ত ডেটাগুলোকে ছোট বড় আকারে সাজাতে-,i. Ascending সিলেক্ট করতে হয়,ii. Descending সিলেক্ট করতে হয়,iii. (A-Z)  সিলেক্ট করতে হয়,নিচের কোনটি সঠিক?,i ও ii
 index করা হয় -,i. ডেটাবেজ ফাইল ওয়েব ডিজাইন থেকে,ii. অরগাইজাইন মেনু ব্যবহার করে,iii. ডস প্রম্পটে কমান্ড লিংকে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 রিলেশনাল ডেটাবেজ হলো-,i. one to one,ii. one to many,iii. many to many,নিচের কোনটি সঠিক?,i ও ii
 কর্পোরেট ডিজাইনের সময় অবশ্যই-,i. কর্পোরেট অ্যাকশনসমূহ এবং বিভিন্ন উন্নয়ন লিপিবদ্ধকরণ করতে হবে।,ii. কর্পোরেট SQL ডেটার ইন্টিগ্রিটি ও নিরাপত্তা বিধান করতে হবে।,"iii. প্রতিদিন ডেটাবেজ ব্যাক-আপ ইনডেক্সিং, ডেটাবেজ লগ, ডিস্ক স্পেস ইত্যাদি মনিটর করতে হবে।",নিচের কোনটি সঠিক?,ii ও iii
 সরকারি প্রতিষ্ঠানে ডেটাবেজ ব্যবহারের ফলে যা সম্ভব-,i. লেটেস্ট তথ্য পাওয়া যায়।,ii. যোগাযোগ রক্ষা করা সহজ হয়।,iii. অর্থ ও সময়ের অপচয় রোধ হয়।,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ডেটাবেজ কে কী বলা হয়?,স্বিদ্ধান্তের বিষয়,পরিকল্পনার বিষয়,তথ্য ভান্ডার,নিয়ন্ত্রনের অবকাঠামো,op3
 নিচের কোনটি ডেটাবেজ প্রোগ্রাম নয়?,এম এস এক্সেস,ওরাকল,ডেলফি,এম এস এক্সেল,op3
 ডেটাবেজ নিয়ন্ত্রন করার জন্য কী ব্যবহার করা হয়?, DBMS, BDMS,  DMBS, SMBD,op1
নিচের তথ্যাদি লক্ষ কর এবং ৯১-৯৩ প্রশ্নের উত্তর দাও:,,,Roll No,Name,
 Roll No. গুলোকে  Ascending Order এ সাজালে হবে-,"  5,4,3,2,1"," 1,2,3,4,5"," 1,3,5,2,4"," 5,31,4,2",op2
 Marks গুলোকে  Dascending Order এ সাজালে হবে-," 78,81,88,90,95"," 81,78,88,90,95"," 95,90,88,81,78"," 78,81,88,90,95",op3
" Name গুলোকে নামের অধ্যক্ষর অনুসারে সাজানো হলে, নিচের কোনটি সঠিক?"," Maruf, Nahim, Sakib, Rohan, Zabed"," abed, Rohan, Sakib, Nahim, Maruf"," Zabed, Sakib, Rohan, Nahim, Maruf"," Maruf, Nahim, Rohan, Sakib, Zabed",op4
 উদ্দীপকে উল্লেখিত বিষয়টি কোনটির সাথে সম্পর্কিত?, ডেটা রিলেশন, ডেটা এনক্রিপ্টশন, ডেটা সিকিউরিটি, ডেটাবেজ সর্টিং,op3
 ডেটার নিরাপত্তা নিশ্চিত করার জন্য ডেটাকে কী করতে হয়?, ডিক্রিপ্টশন, ডিক্রিপ্ট, এনক্রিপ্টশন, এনক্রিপ্ট,op3
 ডেটা এনক্রিপ্টশন ও  ডিএনক্রিপ্টশন করার বিষয়কে কী বলে?, ক্রিপ্টলজি, কিপ্ট্রোগ্রাহী, ক্রিপ্টগ্রাফী, এনক্রিপ্টোলজি,গ) ক্রিপ্টগ্রাফী
 ব্যবহৃত ডেটাবেজ সংগঠন কোনটি?, সরল সংগঠন, নেটওয়ার্ক সংগঠন, সম্পর্কযুক্ত সংগঠন, শাখা প্রশাখা সংগঠন,op3
 প্রাইমারী কী ফিল্ড কোনটি?, Name, ID No, Address, Basic Salary,op2
 জনাব ইঞ্জিনিয়ার মোঃ মশিউর রহমান যে ডেটাবেজ ব্যবহার করেন সেটির মোট কয় ধরণের ডেটা রয়েছে?, ২ ধরণের, ৩ ধরণের, ৪ ধরণের, ধরণের,op3
 ক্রেতা ও প্রশিক্ষার্থীদের ডেটার ক্ষেত্রে প্রযোজ্য হলো-,i. সংখ্যাবাচক ডেটা শুধু একটিতে বিদ্যমান,ii. বর্ণবাচক ডেটা উভয়ক্ষেত্রে বিদ্যমান,iii. ডেটা টাইপ উভয়টিতেই অনুপস্থিত,নিচের কোনটি সঠিক?,i ও iii
