Question,op1,op2,op3,op4,ans
 পলিথিন ফাইবার প্রভূতি কোন পদ্ধতিতে প্রস্তুত করা হয় ?, বায়োমেট্রিক্স, জেনেটিক ইঞ্জিনিয়ারিং, ক্রায়োসার্জারি, ন্যানো টেকনোলজি,op4
 নিচের কোনটির মাধ্যমে কৃষি পন্যের বিভিন্ন রোগ নিরাময়ের পরামর্শ দেওয়া হয় ?, ক্রায়োসার্জারি, মোবাইল, বায়োমেট্রিক্স, তথ্য ব্যবস্থা,op2
 কিসের মাধ্যমে বসেই মানুষ জানতে পারছে পন্যের উৎপাদানের তারিখ গুনাগুন দাম ইত্যাদি এবং,অনলাইনের মাধ্যমে অর্ডার করে ঘরে বসেই নিদিষ্ট সময়ের মধ্যে হাতে পেয়ে যাচ্ছে ?, কমার্স, ই-কমার্স, ব্যবসায়,op3
 নিচের কোন ওয়েব সাইটটি এখন সামাজিক যোগাযোগের মাধ্যম হিসেবে বহুল আলোচিত ও ব্যবহৃত হচ্ছে?, www.yahoo.com, www.google.com, www.youtube.com, www.facbook.com,op4
 কিসের সাহায্যে কৃত্রিমভাবে ত্রি মাত্রিক মাল্টি সেনসোরিয়াল Multi Sensorial এবং রিয়েল টাইম,জগৎ সৃষ্টি করা যায়?, ভার্চুয়াল রিয়েলিটি, রোবোটিক, ইনফরমেশন,op2
 বৈশিক যোগাযোগের ব্যবস্থা সমৃদ্ধ স্থানকে কী বলে?, বৈশ্বিক ভিলেজ, ভিলেজ, গ্লোবাল, বিশ্ব ব্রক্ষান্ড,op1
 বহু বছরের ডেটাকে লাইব্রেরীর মাধ্যমে কম্পিউটারে ব্যবহার করা যায় কোনটির সাহায্যে?, এনসাইক্লোপিডিয়া, সাইক্লোপিডিয়া, মিডিয়া, এনসাইক্লোন,op1
 কিসের ব্যবহারের ফলে দুরত্ব এখন হাতের মুঠোয়?, মোবাইল গেইমস, কম্পিউটার, টেলিভিশন, ইন্টারনেট,op4
 বিশ্বকে এখন কিসের সাথে তুলনা করা হয়?, একটি ইউনিয়ন, একটি গ্রাম, একটি উপজেলা, একটি জেলা,op2
 স্কাইপে এর মাধ্যমে পাওয়া যায়?, মহাকাশ যান, মহাকাশ ক্ষেপনান্ত্র, ফ্রি ফোন সুবিধা, লগ ইন করা,op3
 বিশ্বগ্রাম শব্দটি দ্বারা নিচের কোনটি বুঝানো হয়েছে ?, তথ্য প্রযুক্তি, মাল্টিমিডিয়া, বড় গ্রাম, ছোট গ্রাম,op1
 বিশ্বগ্রাম হলো তথ্য প্রযুক্তির বন্ধনে আবদ্ধ একটি-, অবস্থা, ব্যবস্থা, ক্ষেত্র, শিক্ষা,op3
 বিশ্বগ্রামের ধারনা কত সালে সর্বপ্রথম অবতারনা হয়?, ১৯৬২সালে, ১৯৬৪সালে, ১৯৭০সালে, ১৯৮০ সালে,op1
 বিশ্বগ্রামের ধারনা সর্বপ্রথম কে প্রদান করেন?, মাইকেল লুইস, ডেভিট ফোরম্যান, মার্শাল ম্যাকলুহা, জেমস আর্থারটন,op3
 বিশ্বগ্রাম কী ?, তথ্য প্রযুক্তি ভরা বিশ্ব, বিশ্বের গ্রামঞ্চল, একটি গ্রাম, প্রযুক্তি হীন বিশ্ব,op1
 বর্তমানে বিশ্বে কিসের কারনে একটি গ্রামে পরিনিত হয়েছে-, তথ্য প্রযুক্তি, যোগাযোগ প্রযুক্তি, তথ্য ও যোগাযোগ প্রযুক্তি, ভার্চুয়াল রিয়েলিটি,op3
 নিচের কোনটি বর্তমানে ব্যবসায়ে বানিজ্যের স্বরূপ?, ই কমার্স, ই-মেইল, ই-ল্যান্ড, ই-মারকেট,op1
 বর্তমান সময়কে কোন যুগ হিসেবে চিহ্নিত করা হয়?, শিল্প যুগ, তথ্য প্রযুক্তির যুগ, শিক্ষা যুগ, বানিজ্য যুগ,op2
 Understanding Media শিরোনামের গ্রহ্নটির রচিয়তা কে?, মার্শাল ম্যাকুলুয়ান, মার্শাল ম্যাক, মার্শাল মার্লিন, মার্শাল মুলার,op1
 সাবমেরিন কেবল নেটওয়ারর্কের সাথে বাংলাদেশ যুক্ত হয়েছে কত সালে?, ১৯৯৬, ২০০০, ২০০৪, ২০০৮,op3
 সকল বৈজ্ঞানিক কর্মকান্ড নিচের কোনটির ওপর নির্ভরশীল ?, তথ্য, কম্পিউটার, যোগাযোগ, বায়ু,op2
 GPS অংশ স্যাটেলাইট থেকে প্রতিনিয়ত তথ্য গ্রহণ করে কোথায় পাঠায়?, গ্রাককে, সার্ভারে, সার্জেন্টকে, কম্পিউটারে,op2
 ডেটা কমিউনিকেশনের কয়টি বৈশিষ্ট্যের উপর নির্ভর করে?, ১ টি, ২ টি, ৩ টি, ৪ টি,op2
 কোন যোগাযোগ ব্যবস্থার উন্নতির মাধ্যমে বিশ্বগ্রাম প্রতিষ্ঠার চিন্তাধারাকে উদ্বুদ্ধ করে?, ইন্টারনেট, টেলিফোন, মোবাইল, টেলিভিশন,op2
 নিচের কোনটি বাংলাদেশের প্রধান সমস্যা?, শিক্ষা, যোগাযোগ, চিকিৎসা, কৃষি,op1
 নিচের কোনটি পরিবর্তনের মাধ্যমে যোগাযোগ ব্যবস্থার উন্নতি করা সম্ভব?, শিক্ষা, প্রযুক্তি, শিল্প, বিশ্বগ্রাম,op2
 অনলাইন পদ্ধতিতে কেনাবেচাকে বলা হয়?, ই-মেইল, ই -কমার্স, ই-পেজ, ই-মোবাইল,op2
 বর্তমানে সময়ে কিসের মাধ্যমে টাকা পাঠানো হয় জনপ্রিয় হতে শুরু করেছে?, মোবাইল, ডাকঘর, কম্পিউটার, মানিঅর্ডার,op1
 চাকরির ক্ষেত্রে তথ্য প্রযক্তি প্রভাবে নৈতিকভাবে উদ্বিগ্ন হতে শুরু করেছে?, বেকারত্ব, বেতন কম, ধীর গতিশীলতা, উৎপাদনশীলতা হ্রাস,op1
 নিচের কোনটি চাকরির ওয়েব সাইট?, www.bdjobs.com, www.bikroly.com, www.amazon.com, www.ebay.com,op1
 ইন্টারনেটের কর্মসংস্থানের সুযোগকে কী বলা হয়?, ই -মার্কেটিং, ই- কমার্স, ই - বিজনেস, আউটসোসিং,op4
 কোন শিক্ষা ব্যবস্থার মাধ্যমে খ্যাতনামা বিশ্ববিদ্যালয়ের শিক্ষকদের সাথে লেখাপড়ার যোগাযোগ,রক্ষা করা সম্ভব হচ্ছে?, মোবাইল, টেলিভিশন, অন-লাইন,op4
 বর্তমানে কোন ব্যবস্থায় একজন ছাত্র ক্লাসে না গিয়ে ও ঘরে বসে যে কোন ক্লাসে অংশগ্রহণ করতে,পারেন?, ইন্টারনেট, শিক্ষকের প্রত্যক্ষ তত্ত্ববধানে, যোগাযোগ,op2
 Khanacademy .org নামক ওয়েবসাইটির প্রতিষ্ঠাতা কে?, সোহেল খান, সালমান খান, ফিরোজ খান, জোবায়ের খান,op2
 শিক্ষার জন্য সহজতর হচ্ছে -, সিডি, বই, নোট, ই-বুক,op4
 নিচের কোন ওয়েব সাইটির মাধ্যমে বিশ্বের যে কোন স্থান হতে অনলাইনে স্বাস্থ্যসেবা পাওয়া যায়?, wwwbikroycom, www.khanacademycom, www.softpedia.com, www.treatmentonline.com,op4
 টেলিমেডিসিন সেবায় বর্তমানে বাংলাদেশে বেসরকারী পর্যায়ে কয়টি হাসপাতাল রয়েছে?, ১টি, ২টি, ৩টি, ৪টি,op2
 গবেষনা মানুষের কোন অনুসন্ধান প্রক্রিয়া?, বুদ্ধিবৃত্তিক, জ্ঞানমুলক, অনুধাবনমূলক, বুদ্ধিমূলক,op1
 গবেষনাপত্র তৈরী করা সহজতর হচ্ছে কোনটির মাধ্যমে?, সিডি, ই- বুক, নোট, বই,op1
 সকল বৈজ্ঞানিক কর্মকান্ড কিসের ওপর নির্ভরশীল-, কম্পিউটার, আবহাওযা, যোগাযোগ, তথ্য,op1
 অফিস অটোমেশনের ফলে অফিসের-, কাজের গতি কমে, অলসতা বাড়ে, গতি বৃদ্ধি পায়, খরচ বাড়ে,op3
 একটি অফিসের বিভিন্ন শাখার মধ্যে তথ্য আদান প্রদান করা যায় কোনটির মাধ্যমে?, কম্পিউটার, নেটওয়ার্ক, মোবাইল, প্যাকেজ,op1
 বাড়ীর বিভিন্ন ধরনের ডিজাইনের জন্য প্রয়োজনীয় সফটওয়্যার কেনটি?, CAD, MS EXCEL, ORACAL, POWER POINT,op1
 বৈদেশিক মুদ্রা অর্জনের পাশাপাশি কর্মসংস্থান সৃষ্টির ক্ষেত্রে কোনটি সহায়তা করবে?, আউট সোর্সিং, কৃষি কাজ, ব্যবসায়, চাকরি,op1
IP ADDRESS কী?, ইন্টানেটের ঠিকানা, ইন্টারনেটের ঠিকানা, ইন্টারনেটের স্পেস, ইন্টারনেটের স্পিড,op1
 অনলাইনের মাধ্যমে ব্যাবসায়কে কী বলে?, ই-কমার্স, ই-ব্যাংক, ই-গভর্নেস,ই-বাজার,op1
 ই-কমার্স কোন ক্ষেত্রে প্রভাব ফেলেছে?, মহাকাশ অভিযান, চিকিৎসা, বাসস্থান, ব্যাবসায় বানিজ্য,op4
 যোগাযোগ ব্যবস্থার অবণর্নীয় পরিবর্তনের একটি মাইলফলক কেনটি?, বাস, ট্রেন, বিশ্বগ্রাম, ফোন,op4
 বিশ্বগ্রামে ব্যবসায়-বাণিজ্যের সরকরাহাকৃত মালামাল পর্যবেক্ষণ করার জন্য নিচের পদ্ধতি,ব্যবহার করা হয়?, ই-কমার্স, ই-মেইল, ই-লর্নিং,op2
 ব্যবসায় বানিজ্যের আধুনিকতম সংস্করণ নিচের কোনটি?, ই-কমার্স, ই-মেইল, ই-লর্নিং, ই-ট্রাকিং,op1
 স্টক একচেঞ্জ নিচের কেন পদ্ধতিতে কেনাবেচা করে?, ই-ট্রাকিং, ই-মেইল, ই-কমার্স, ই-লার্নিং,op3
 E-Payment System-এর সহায়তায় নিচের কোন কাজটি করা হয়?, মূল্য পরিশোধ, মূল্য নির্ধারন, পণ্যের বিপনন, ই-বুকিং,op1
 বিশ্বের এক প্রান্ত হতে অন্যপ্রান্তে কোন পণ্যের অর্থ পরিশোধে কোন মাধ্যম ব্যবহৃত হয়?, পে-অর্ডার, ক্রেডিট কার্ড, চেক, নগদ ক্যাশ,op2
 শিক্ষাক্ষেত্রে নিম্নের কোনটি অধিক কাজ প্রযোজ্য?, ইন্টারনেট, ব্লগ, আউটসোসিং, ই- কমার্স,op1
 Blog কী, অনলাইন পত্রিকা, দিনলিপি, ব্যক্তিকেন্দ্রিক পত্রিকা, ইন্টারনেট ব্যবস্থা,op3
 যিনি ব্লগে পোষ্ট করেন তাকে কী বলে?, ব্লগার, ব্লগারিজম, ব্লগ, ব্লগসুপার,op1
 যেখানে বহুসংখ্যক ইন্টারনেট ব্যবহারকারী তাদের মতামত ও লেখনীয় মাধ্যমে একটি প্লাটফর্ম গড়ে,তোলেন সেটি কী?, ব্লগ, ইন্টানেট, পত্রিকা,সামাজিক ব্লগ
 সংবাদ কী ?, তথ্যের সমষ্টি, তথ্য, গবেষনা, বৈজ্ঞানিক সূত্র,op1
 ইন্টারনেটের মাধ্যমে বিশ্বের গ্রাহকগণ কম্পিউটারের পর্দায় সংবাদপত্র পড়েন বা পিন্ট করেন তাকে,কী বলে?, ই -কমার্স, ই -নিউজ, ই-লার্নিং,op3
 বিশ্ব সামাজিক আন্তঃযোগাযোগ ব্যবস্থা কোনটি ?, সংবাদ, টিভি, ফেসবুক, মোবাইল,op3
 ফেসবুকের স্থাপতি কে?, বিল গেটস, মার্ক এন্ডিসন, মার্ক জুকারবার্গ, মাইকেল জুকারবার্গ,op3
 রোবটের কাজ কী?, প্রোগ্রাম চালনা, প্রোগ্রাম উন্নয়ন, প্রোগ্রাম নিয়ন্ত্রন, প্রতিকূল কাজে সাহায্য করা,op4
 নিচের কোনটি বিনোদনের উল্লেখ্যযোগ্য মাধ্যম?, সংবাদ পত্র, রেডিও, টেলিভিশন, কম্পিউটার,op3
 কোন খেলার সরাসরি সম্প্রচার টেলিভিশনের বিকল্প হিসেবে আমারা কী ব্যবহার করতে পারি?, ইন্টারনেট, রেডিও, সংবাদপত্র, ম্যাগাজিন,op1
 ভার্চুয়াল রিয়েলিটি কীসে নিয়ন্ত্রিত হয়-, ইন্টারনেট, বেতার নিয়ন্ত্রিত, কম্পিউটার নিয়ন্ত্রিত, রিয়েলিটি নির্ভর,op3
 ভার্চুয়াল রিয়েলিটি কী, মাল্টিমিডিয়া ব্যবহার, কাল্পিনিক মাল্টিমিডিয়া ব্যবহার, কাল্পিনিক ব্যবহার, কম্পিউটার ব্যবহার,op2
 বাস্তব নয় কিন্তু ব্যবহারকারী নিচের কোনটিকে বাস্তব মনে করেন?, ত্রি-মাত্রিক ছবি, বিহেভিয়ার, টিভিল ছবি, রিয়েলিটি শো,op1
 ভার্চুয়াল রিয়েলিটি হলো অ্যাপ্লিকেশন তৈরী জন্য কোন উপাদানটি নিয়ে কাজ করতে হয়?, কম্পিউটার, বিহেভিয়ার, তথ্য ব্যবস্থা, এনভারনেট,op2
 আর্টিফিশিয়াল ইন্টেলিজেন্স কী?, নলেজ বেজড সিস্টেম, নলেজ সিস্টেম, কম্পিউটার সিস্টেম, ইন্টারনেট সিস্টেম,op1
 বায়োইনফরমেট্রিক্স কী?, কম্পিউটার তথ্য গবেষনা, ডাটাবেজ প্রোগ্রামিং, গানিতিক তথ্য বিশ্লেষন, জীববিদ্যা বিষয়ক তথ্য প্রক্রিাকরন,op4
 কম্পিউটার অনৈতিক ব্যবহারে সবচেয়ে বড় ক্ষতি হয়?, ব্যবহারকারীর কম্পিউটারে ভাইরাস ছড়াতে হয়, প্রযুক্তির উন্নয়নের ধারা ব্যাহত হয়, কোম্পানির মুনাফা কমে যায়, জেল-জরিমানার ঝুকি থাকে,op3
 ভার্চুয়াল রিয়েলিটিতে কী ধরনের ইমেজ তৈরী হয়?, একমাত্রিক, দ্বি মাত্রিকা, ত্রি মাত্রিক, বহুমাত্রিক,op3
 বর্তমানে যত মহাকাশযান তৈরী হচ্ছে সেগুলো নিয়ন্ত্রিত হয় কী দ্বারা -, রোবট, কম্পিউটার, ক্যালকুটের, স্ক্যানার,op2
 কিসের সাহায্যে কৃত্রিমভাবে ত্রি মাত্রিক মাল্টি সেনসোরিয়াল এবং রিয়েল টাইম জগৎ সৃষ্টি করা,যায়?, ভার্চুয়াল রিয়েলিটি, রোবাটিক, ইনফরমেশন,op2
 আর্টিফিশিয়াল রিয়েলিটি শ্বদগুচ্ছ আমাদের সামনে প্রথম তুলে ধরেন কে?, মাইরন ক্রুইজার, আইনস্টাইন, স্টিফিন হকিং, বিল গেটস,op1
 ব্যবহারকারীকে বাস্তবতার কাছাকাছি নিয়ে যেতে সাহায্য করে কোনটি-, টেলিভিশন রিয়েলিটি, ভার্চুয়াল রিয়েলিটি, কম্পিউটার রিয়েলিটি, ভার্চুয়াল ভিজুলিটি,op2
 কৃত্রিমভাবে বাস্তব জগৎ তৈরী করতে পারে কোনটি?, ভার্চুয়াল রিয়েলিটি, টেলিভিশন রিয়েলিটি, কম্পিউটার রিয়েলিটি, ভার্চুয়াল ভিজুলিটি,op1
 ভার্চুয়াল রিয়েলিটির ব্যবহার সবচেয়ে বেশী লক্ষনীয় কোন ক্ষেত্রে?, খেলাধুলায়, চলচ্চিত্রে, ব্যাংকিং সেবায়, প্রশিক্ষনে,op2
 একুশ শতকে এসে প্রযুক্তি মানুষকে উপহার দিয়েছে নতুন এক যুগ তা কি?, তথ্য যুগ, মোবাইল, কম্পিউটার যুগ, তথ্য ও যোগাযোগ প্রযুক্তি,op4
 E -mail এর পূর্ন রূপ কি?, Eleatric Mail, Electronic Mail box, Electrion Mail, Electronic Mail,op2
 ই মেইল ঠিকানার পরের অংশটিকে কী বলে?, ডোমেন নেম, ইউজার নেম, ডোমেইন এলাকা, ডোমেইন,op3
 ই মেইল অ্যাড্রেসের অংশ কয়টি?, ২টি, ৩টি, ৪টি, ৫টি,op1
 GIS এর পূর্ন রূপ কোনটি ?, Graph information system, Gepgraphic Instruction, Geographic information system, Geograph instant system,op3
 নিচের কোনটির ক্ষেত্রে কৃত্রিম বুদ্ধিমত্তার জন্য কম্পিউটারের চিন্তা ভাবনা হয়?, কম্পিউটার, সফটওয়ার, মানুষ, বুদ্ধিমান,op4
 প্রথম কৃত্রিম বুদ্ধিমত্তার ধারনা দেন কে?, Wingogvad, John Mccarthy, A. M Tuning, ক ও খ উভয়ই,op2
 মানুষ বা অন্য কোন প্রানীর চিন্তা করার ক্ষমতা কে কী বলা হয় ?, Hevristic, Trial, Stored, Processor,op1
 নিচের কোনটির রোবটিক্স গ্রুপভুক্ত কৃত্রিম বুদ্ধিমত্তা?, Dexterity, Speech Rccognition, Fzzy, Intelligent Agent,op1
 রোবট শব্দের অর্থ কি?, যন্ত্রমানব, মানব, যন্ত্র, ডিভাইস,op1
 Cryosurgery কোন দেশি শব্দ?-, ইংরেজী, গ্রিক শব্দ, ল্যাটিন শব্দ, ফরাসি শব্দ,op2
 Cryo শব্দটির অর্থ দাড়ায়-, ঠান্ডা, গরম, খুবই ঠান্ডা, ফরাসি শব্দ,op3
 কোন রোগের চিকিৎসায় সাধারনত ক্রায়োসার্জারি ব্যবহার করা হয় -, চর্ম রোগ, গ্যাস্টিক, জন্ডিস, মাথা ব্যাথা,op1
 ক্রায়াসার্জারী সাধারনত কত তাপমাত্রায় সেগুলোকে ধ্বংস করে-, -41oC, +60oF, -60oC, +41oF,op1
 ক্রায়োসার্জারি চিকিৎসা কোন ধরনের রোগের চিকিৎসা নির্ণয়ে ব্যবহৃত হয়?, এইডস, সিটি ক্যান ব্রেনের, উচ্চ রক্তচাপ, চামড়ার ক্যান্সার,op4
 ক্রায়োসার্জারিতে কী রকম নাইট্রোজেন ব্যবহার করা হয়?, শক্ত, নরম, কঠিন, তরল,op4
 ক্রায়োসার্জারিতে অসুস্থ টিস্যুকে ধবংস করা হয়-, অতি মাত্রায় ঠান্ডা প্রয়োগ, অতি মাত্রায় গরম প্রয়োগ, ঠান্ডা গরম দুটো প্রয়োগ, সাধারন তাপমাত্রায়,op1
 ক্রায়োসার্জারি নিচের কোন ধরণের পদার্থ ব্যবহার করা হয়?, তরল, জৈব, গ্যাস, অজৈব,op1
 কোনটি নাসার মঙ্গলে পাঠানোর রোবট যান?, নাসাওসিটি, কিউরিওনাসা, কিউনাসা, কিউরিওসিটি,op4
 তথ্য ও যোগাযোগ প্রযুক্তি ব্যবহার হয়?, টেলিভিশন, আধুনিক ট্রেনে, বিমান, সবগুলোতেই,op4
 ঘরে বসে ব্যবসায়ের জন্য প্রযুক্তি ব্যবহার হয়-, ইন্টারনেট, ফেসবুক, বেতার, তথ্য প্রযুক্তি,op1
 সামাজিক যোগাযোগের জন্য ব্যবহার হয়না-, টুইটার, ফেসবুক, মাইস্পেস, জি-মেইল,op3
 চিনি মিলগুলো আখ চাষীদের জন্য অনলাইনে কী পাঠানোর ব্যবস্থা করেছেন-, কার্ড, ডেবিট কার্ড, নগদ টাকা, পুজি,op4
 নিচের কোনটির মাধ্যমে কৃষি পন্যের বিভিন্ন রোগ নিরাময়ের পরামর্শ দেওয়া হয়?, ক্রায়োসার্জারি, মোবাইল, বায়োমেট্রিক্স, তথ্য ব্যবস্থা,op2
 প্রতিটি যন্ত্রে বা উৎপাদন হচ্ছে তা পর্যবেক্ষন করা যায় কোন সফটাও্য়্যার এর মাধ্যমে?, LAN, MAN, ERP, PLC,op3
 একটি দেশে সর্বশ্রেষ্ঠ বৈজ্ঞানিক প্রযুক্তি ব্যবহার করা হয় কোন খাতে-, শিক্ষা, চিকিৎসা, প্রতিরক্ষা, কৃষি,op3
 ইন্টারনেট প্রচলিত হওয়ার আগে নিচের কোন প্রকল্পটি চালু ছিল?, APARNET, ARPANET, ARPONET, ARPENET,op2
 নিচের কোনটি ARPANETএর পূর্নরূপ?, Active Research Projects Agency Network, Active Research Projects Area Network, Advanced Research Projects Agency Network, Advanced Research Projects Area Network,op3
 বর্তমানে একটি ভাষায় মানুষের কথাকে অন্য ভাষায় অনুবাদ করে দিতে ব্যবহৃত হয়-, দোভাষী, তারাযুক্ত নেটওয়ার্ক, এডহক নেটওয়ার্ক, সফটওয়্যার,op4
 বায়োমেট্রিক্স পদ্ধতি বর্তমানে-, জনপ্রিয়, পুরাতন চালু হবে, অপ্রিয়, অতি পুরাতন,op1
 বায়োমেট্রিক্স যন্ত্রপাতির মধ্যে গুরুত্বপুর্ন -, হার্ডডিক্স ড্রাইভ, অপটিক্যাল ডিভাইস, থাম্ব রিডার ডিভাইস, ফ্লপি ডিক্স ড্রাইভ,op3
 আঙ্গুলের ছাপ নেওয়া হয় কোন পদ্ধতি?, বায়োমেট্রিক্স, বায়োইনফরমেট্রিক্স, ইনফরমেট্রিক্স, জেনেটিক টেকনোলজি,op1
 আইসিটিক সূচকে কোন দেশটি সবচেয়ে উপরে?, থাইল্যান্ড, সুইডেন, ব্রাজিল, ইন্দোনেশিয়া,op2
 কোন ব্যক্তিকে সনাক্তকরনের জন্য বায়োমেট্রিাক্স কে সাধারনত কয়টি শ্রেনিতে বিভক্ত করা যায়?, ১টি, ২টি, ৩টি, ৪টি,op2
 নিচের কোনটি ইউনিক আইডেনটি?, আগুলের ছাপ, হাতের মাপ, উচ্চতা, ওজন,op1
 মাইক্রোপ্রসেসর চিপে সঠিক ভ্রমনকারী শনাক্ত করার জন্য আন্তর্জাতিক নিয়ম অনুসারে বিভিন্ন,ধরনের তথ্য কোথায় লিপিবদ্ধ থাকে?, TUPAC, LACO, ICAO,op4
