Question,op1,op2,op3,op4,ans
 নিম্নের কোনটি তথ্যের উৎস?,কম্পিউটার,টেলিফোন,স্যাটেলাইট,টেলিফোন লাইন,op1
 ডিজিটাল সংকেতকে অ্যানালগ সংকেতে রুপান্তরিত করার প্রক্রিয়াকে কী বলে?,রাউটিং,মডুলেশন,সুইচিং,নেটওয়ার্কিং,op2
 কম্পিউটারের পারস্পারিক যোগাযোগ কে কী বলে?,মডেম,নেটওয়ার্ক,ফ্যাক্স,হাইওয়ে,op2
 ডেটা ট্রান্সমিশন রেটকে কী বলে?,ব্যান্ড,উইডথ,ব্যান্ড উইডথ,ভয়েস ব্যান্ড,op3
 ডেটা ট্রান্সমিশন গতি কত প্রকার?,২টি,৩টি,৪টি,৫টি,op4
 নিচের কোনটি কমিউনিকেশন সিস্টেম বহির্ভূত?,যোগাযোগ নেটওয়ার্ক,তথ্য বিনিময় সিস্টেম,তথ্য বিনিময় কেন্দ্র,গাড়ি চালানো,op2
 ন্যারো ব্যান্ডের গতি-, 9600bps, 45bps, 1 gbps, 5 gbps,op2
 Bandwidth এর একক কোনটি?, Hz, Cycle/sec, bit/s, m/s,op3
 ডেটা ট্রান্সমিশন পদ্ধতিকে কয় ভাগে ভাগ করা হয়?,২টি,৩টি,৪টি,৫টি,op2
 ডেটা রিসিভার A এর জন্য ব্যবহৃত বাইনারি মান কোনটি?, 10000001, 1000001, 01000010, 11000001,op2
 নিম্নের কোনটির প্রেরক স্টেশনের সাথে একটি প্রাইমারী স্টোরেজের প্রয়োজন হয়?,সিনক্রোনাস ট্রান্সমিশন,আইসোক্রোনাস ট্রান্সমিশন,অ্যাসিনক্রোনাস ট্রান্সমিশন,আইসিক্রোনাস ট্রান্সমিশন,op1
 ডেটা প্রবাহের দিকে উপর ভিত্তি করে ডেটা ট্রান্সমিশন মোডকে কয় ভাগে ভাগ করা যায়?,২ ভাগে,৩ ভাগে,৪ ভাগে,৫ ভাগে,op2
 প্রেরক থেকে যে ডেটা গ্রাহকের ক্যারেক্টার বাই ক্যারেক্টার ট্রান্সমিট হয় তাকে কী বলে?,এসিনক্রোনাস,আইসোক্রোনাস,সিনক্রোনাস,বিসিনক্রোনাস,op1
 ডেটা কমিউনিকেশনের ক্ষেত্রে ডেটা প্রবাহের দিককে কী বলে?,ট্রান্সমিশন স্পীড,ডেটা কমিউনিকেশন,কম্পিউটার মোড,ডেটা ট্রান্সমিশন মোড,op3
 যে ডেটা ট্রান্সমিশন সিস্টেমে প্রেরক থেকে ডেটা গ্রাহকের ক্যারেক্টার বাই ক্যারেক্টার,ট্রান্সমিট হয় তাকে কী বলে?,সিনক্রোনাম ট্রান্সমিশন,এসিনক্রোনাম ট্রান্সমিশন,আইসোক্রানাস ট্রান্সমিশন,op3
 ডেটা শুধু এক দিকে প্রেরণ করা যায় কোন মোডে?,হাফ ডুপ্লেক্স,সিমপ্লেক্স,ডুপ্লেক্স,ফুল ডুপ্লেক্স মোড,op2
 সিমপ্লেক্স মোডের উদাদহরণ-,মোবাইল ফোন,টেলিফোন,ওয়াকিটকি,রেডিও,op4
ইন্টারনেটে সবচেয়ে বেশি ব্যবহৃত হয় ডেটা ট্রান্সফারের কোন পদ্ধতিতে?, Synchronous, Isochronous, Asychronous, কোনাটিই নয়।,op3
 সিনক্রোনাস ডেটা ট্রান্সমিশনে প্রতি প্যাকেট কমপক্ষে কতটি ক্যারেক্টার থাকে?,৮০-১৩২ ক্যারেক্টার,৮০-১২০ ক্যারেক্টার,১২০-১৩২ ক্যারেক্টার,১০০-১১২ ক্যারেক্টার,op1
 নেটওয়ার্ক লাইন ইন্টারফেসের ওপর ভিত্তি করে ডেটা ট্রান্সমিশন পদ্ধতিকে কয়টি ভাগে ভাগ করা,যায়?,5 ভাগে,৪ ভাগে,৩ ভাগে,২ ভাগে
 কেবল একদিকে ডেটা প্রেরনের মোডকে কী বলে?,ডুপ্লেক্স,হাফ ডুপ্লেক্স,ফুল ডুপ্লেক্স,সিমপ্লেক্স,op4
 টুইস্টেড পেয়ার ক্যাবলের ফ্রিকোয়েন্সি রেঞ্জ কত?, 0-5GHz, 5-10MHz, 0-5MHz, 0-5KHz,op4
 টুইস্টেড পেয়ার ক্যাবল তৈরী করা হয় কী ধরনের উপাদান দিয়ে?, Iron, Copper, Glass, Gold,op2
 STP ক্যাবলের সর্বোচ্চ ব্যান্ডউইথড কত?, 1Mbps, 10Mbps, 2Mbps, 20Mbps,op4
 UTP ক্যাবলের কতটি কপার তার থাকে?,২টি,৪টি,৮টি,১৬টি,op3
 ডেটা কমিউনিকেশনে কয় প্রকারের মাধ্যম রয়েছে?,২প্রকার,৩প্রকার,৪প্রকার,৫প্রকার,op1
 কোনটি স্বল্প দূরত্বের নেটওয়ার্ক স্থাপনে ব্যবহার করা হয়?, উপগ্রহ, রেডিওওয়েভ, ক্যাবল, স্যাটেলাইট,op3
 নিম্নের কোনটির মাধ্যমে একই সময়ে অনেকগুলো দেশের সাথে যোগাযোগ স্থাপন করা সম্ভব?, শেয়ার টুইস্টেড পেয়ার ক্যাবল,খ টুইস্টেড পেয়ার ক্যাবল, স্যাটেলাইট মাইক্রোওয়েভ, টেবেস্টোরিয়েল মাইক্রোওয়ব।,op3
 STP- এর পূর্ণরুপ কী?,Share Twisted Pair,Shielded Twin Pair,Shielded Tower phone,Shielded Twisted Pair,op4
 নিম্নে কোনটিতে ডেটা ট্রান্সমিশন হার 100mbps থেকে 2gbps?, টুইস্টেড পেয়ার ক্যাবল, আনশিল্ডেড টুইস্টেড পেয়ার ক্যাবল, কো-এক্সিয়াল ক্যাবল, অপটিক্যাল ফাইবার ক্যাবল।,op4
 অপটিক্যাল ফাইবার জ্যাকেটের ব্যাস কোনটি?, 200µm, 300 µm, 400 µm, 100 µm,op3
 অপটিক্যাল ফাইবার ক্যাবল কমিউনিকেশন ব্যবস্থায় তিনটি অংশে দুটি হলো প্রেরক যন্ত্র ও গ্রাহক,যন্ত্র এবং অপরটি-, মডেম, মাধ্যম, তার,op3
 রেডিও তরঙ্গ সংগঠিত হয় কোথায়?, মোটামুটি দূরত্ব, কয়েক কিলোমিটার, খুবই অল্প দূরত্ব, ১ কিলোমিটার,op2
 কোন যন্ত্রটি নিম্ন শক্তিসম্পন্ন রেডিও সঞ্চালনে ডেটা পরিবর্তন করতে সক্ষম?, ব্লুটুথ, রেডিও, টেলিভিশন, কম্পিউটার,op1
 কোন প্রযুক্তি ব্যবহার করে শতাধিক ব্যবহারকারী একক বেস স্টেশন ব্যবহার করতে পারে?, Wi-Max, Wifi, Bluetooth, GPS,op1
 বেতার তরঙ্গের সীমা কত?, 20km-30km, 1km-50km, 1mm-10km, 50km-100km,op3
 ভূ-পৃষ্ঠে ট্রান্সমিটার বসানো থাকে কোন ওয়েভে?, স্যাটেলাইট মাইক্রোওয়েভ, রেডিও মাইক্রোওয়েভ, টিভি মাইক্রোওয়েভ, টেরিস্ট্রিয়াল মাইক্রোওয়েভ,op4
 কোনটি ব্লুটুথ ও ইনফ্রারেডের মাধ্যমে হ্যান্ডসেট বা ল্যাপটপের মধ্যে যোগাযোগের পদ্ধতি-, WWAN, WMAN, WPAN, WLAN,গ) WPAN
 কয়েকটি wireless LAN মিলে নিম্নের কোনটি গঠিত হয়?, WWAN, WMAN, WPAN, WLAN,op2
 কোনটিতে Wi-Max প্রযুক্তি ব্যবহার করা হয়?, WWAN, WMAN, WPAN, WLAN,op2
" দূরে গ্রহ, গ্যালাক্সি এবং মহাশূন্যে বিভিন্ন বিপর্যয় পর্যবেক্ষন কাজ- এ নিম্নের কোনটির",ব্যবহার করা হয়?, রেডিও ওয়েভ, স্যাটেলাইট মাইক্রোওয়েভ, টেরিস্ট্রিয়াল মাইক্রোওয়েভ,op3
 বর্তমানে মোবইল ফোনে ওয়্যারলেস প্রযুক্তিতে বহুল ব্যবহৃত প্রযুক্তি কোনটি?, ওয়াই-ফাই, তার মাধ্যমে, অপটিক্যাল ফাইবার, কো-এক্সিয়াল,op1
 LMR-এর পূর্ণরুপ কী?, Local Mobile Radio, Local Mobile Resister, Land Mobile Radio, Local Mbality Radio,op3
 SMR- এর পূর্ণরুপ কী?, Specialized Mobile Radio, Speed Mobile Radio, Special Mobile Radio, Social Mobile Radio,op1
 গাড়ির চালকের গতিবিধি বা কোথায় রয়েছে তা জানার উপায় কোনটি?, জিপিএস, মোবাইল, ফেসবুক, ব্লুটুথ,op1
 WAN- এর পূর্ণরুপ কী?, World Area Network, Wide Area Network, World After Network, World After Nature,খ) Wide Area Network
 ড. মার্টিন কুপার যে মোবাইলটি ১৯৭৩ সালে সর্ব প্রথম প্রদর্শন করেন তার ওজন কত ছিল?,২৫০ কেজি,০০ গ্রাম,১ কেজি,৫ কেজি,বিট
 ব্লুটুথের মাধ্যমে কোন নেটওয়ার্ক তৈরী হয়?, PAN, LAN, WAN, MAN,op1
 ব্লুটুথ উদ্ভাবন করেন কে?, টেলিকম, হার্ড এল্ড্রিসন, এরিকসন, আইবিএম,op3
 কত সালে ব্লুটুথ উদ্ভাবন করা হয়?, ১৯৮০ সালে, ১৯৯৪ সালে, ১৯৬২ সালে, ২০০৪ সালে,op2
 Bluetooth Special interest group এর সদস্য কত?, প্রায় ১৭০০০, প্রায় ১২০০০, প্রায় ২০০০০, প্রায় ২৫০০০,op1
 দুই বা ততোধিক যন্ত্রের মধ্যে তারবিহীন যোগাযোগের পদ্ধতিকে কী বলে?, মোবাইল ফোন, কম্পিউটার, ওয়্যারলেস কমিউনিশেন, স্মার্টফোন,op3
 নিম্নশক্তি সম্পন্ন রেডিও সঞ্চালনে ডেটা পরিবহন করতে সক্ষম যে যন্ত্র তার নাম-, ইনফ্রারেড, ব্লুটুথ, মোবাইল ফোন, রেডিও,op2
 ব্লুটুথ কত দূরত্ব পর্যন্ত সংযোগ স্থাপন করতে পারে?, 10cm-10m, 1km-10km, 10m-20m, 10cm-40m,10cm-10m0m
 ব্লুটুথের ফলে কোন নেটওয়ার্ক তৈরী হয়?, PAN, LAN, WAN, MAN,op1
 ব্লুটুথ উদ্ভাবন করেন কে?, টেলিকম, হার্ড এন্ড্রিসন, এরিকসন, টেলিকম এরিকসন,op3
 কত সালে ব্লুটুথ উদ্ভাবন করা হয়?, ১৯৮০, ১৯৯৪, ১৯৬২, ২০০৪,op2
 লোকাল এরিয়া নেটওয়ার্কের আওতায় পড়ে-, অফিসভিত্তিক নেটওয়ার্ক, রুমভিত্তিক নেটওয়ার্ক, জেলাভিত্তিক নেটওয়ার্ক, বিভাগীয় নেটওয়ার্ক,op1
 Wi-fi- এর স্ট্যান্ডার্ড হচ্ছে-, IEEE 80.211, IEE 802.11, IEEE 802.11, IEE 80.211,গ) IEEE 802.11
 IEEE এর পূর্ণরুপ কী?, Institute of Electrical and Electronics Engineers, Institute of Electrical and Electronics Engineers, Impact of Electrical and Electronics Engineers, Institute of Electrical and Electronics Engineers,op1
 Wi-Max এর প্রধান অংশ কয়টি?,২টি,৩টি,৪টি,৫টি,op2
 ইনডোর ও আউটডোর টাওয়ার নিয়ে গঠিত কোনটি?, Wi-Max রিসিভার, Max বেস স্টেশন, Wi-Max বেস স্টেশন, Wi-Fi রিসিভার,গ) Wi-Max বেস স্টেশন
 Wi-Max নেটওয়ার্কে ১০ কিলোমিটারের মধ্যে গতি কত?, 1 mbps, 20 gbps, 10 mbps, 2 gbps,গ) 10 mbps
 বাংলাদেশে কে প্রথম ওয়াইমাক্স সুবিধা প্রদান করেন?, Banglalion, Ollo, Qubee, Augure,গ) Qubee
 ওয়াই-মাক্স এর ডেটা প্রবাহের হার কত?, ১০ মেগাবাইট/সেকেন্ড, ৩০-৪০ মেগাবাইট/সেকেন্ড, ৬০ মেগাবাইট/সেকেন্ড, ১ মেগাবাইট/সেকেন্ড,খ) ৩০-৪০ মেগাবাইট/সেকেন্ড
 ২০১১ সালে স্থির স্টেশনগুলোতে তথ্য ট্রান্সমিশনের হার সেকেন্ডে কত করা হয়েছে?, ১ জিবি, ৫১২ এমবি, ২ জিবি, ২৫৬ এমবি,op1
 কোন প্রজন্মের মোবাইল সিস্টেমে NMT ব্যবহার শুরু হয়?, ১ম প্রজন্ম, ২য় প্রজন্ম, ৩য় প্রজন্ম, ৪র্থ প্রজন্ম,op1
 ব্যাংকের শাখা অফিসের মধ্যে কোন ধরনের নেটওয়ার্ক পদ্ধতি গড়ে উঠে সেই নেটওয়ার্কের নাম কী?, MAN, LAN, PAN, CAN,ক) MAN
 এক নেটওয়ার্ক থেকে অন্য নেটওয়ার্কে ডেটা পাঠানোর জন্যে কোন হার্ডওয়ার ব্যবহার করা হয়?, হাব, রাউটার, সুইচ, নিক,op2
 NTTC সেলুলার টেলিফোন উৎপাদন শুরু করে-, প্রথম প্রজন্মে, তৃতীয় প্রজন্মে, দ্বিতীয় প্রজন্মে, চতুর্থ প্রজন্মে,op3
 দ্বিতীয় প্রজন্ম হলো-, নেটওয়ার্ক, ইনফ্রারেড, তারবিহীন নেটওয়ার্ক, ব্লুটুথ,op4
 কম্পিউটার নেটওয়ার্কিং ব্যবস্থায় যুক্ত হয়-, দুটি কম্পিউটার, দুই বা ততোধিক কম্পিউটার, একটির সাথে অন্যটি, তিনটি কম্পিউটার,op2
 নেটওয়ার্ক হলো-, কম্পিউটারে তথ্য সংরক্ষন করা, ডাক যোগাযোগ, কম্পিউটারের আন্তঃসংযোগ, কম্পিউটারে তথ্য বিন্যাস,op3
 সর্বনিম্ন কয়টি কম্পিউটারের মধ্যে ক্যাবল যুক্ত করে নেটওয়ার্কিং করা যায়?,২টি,৩টি,৪টি,৫টি,op1
 নিচের কোনটি নেটওয়ার্ক শেয়ারিং এর জন্য ব্যবহৃত হয়?, হার্ডওয়ার ও সফটওয়ার, তথ্য বিনিময় ও সফটওয়ার, তথ্য বিনিময় ও হার্ডওয়ার," তথ্য বিনিময়, হার্ডওয়ার ও সফটওয়ার",op4
 নেটওয়ার্কের উদ্দেশ্য হলো ব্যবহারকারীর পরস্পরের মধ্যে কম্পিউটার--- কে ভাগাভাগি করে ব্যবহার,করা।, কম্পিউটার, রিসোর্স, মডেম,খ) রিসোর্স
 PAN নেটওয়ার্ক তৈরী করা যায়-," বাড়ি, অফিস, গাড়ি"," বাড় অফিস, জেলা"," বাড়ি, গাড়ি, শহর"," অফিস, কলেজ, অন্যদেশ",op1
 LAN WAN সাধারণত গড়ে উঠে--- সীমানার মধ্যে।, ১০ কিঃমিঃ, ১ কিঃমিঃ, ১০০ মিঃ, ১০০ কিঃমিঃ,op3
 LAN ও MAN নিয়ে গঠিত হয়-, WAN, PAN, CAN, VAN,ক) WAN
 লোকাল এরিয়া নেটওয়ার্ক --, খুব কাছাকাছি নয় এরুপ কম্পিউটারের মধ্যে, খুব কাছাকাছি অবস্থিত কম্পিউটারের মধ্যে, কাছাকাছি দেশের মধ্যে কম্পিউটারের সংযোগ, পাশাপাশি দেশের কম্পিউটারের মধ্যে,গ) কাছাকাছি দেশের মধ্যে কম্পিউটারের সংযোগ
 NIC এর পূর্ণরুপ কী?, Network Net Card, Network Interface Card, Neutal Interface Card, New International Card,op2
 হাবের গতি অপেক্ষা সুইচের গতি-, কম, অনেক বেশি, বেশি, সমান,op1
 অধিক ক্ষমতাযুক্ত হাব কে কী বলে?, কম মেধাযুক্ত হাব, বুদ্ধিমান হাব, বোকা হাব, চালাক হাব,op2
 এক নেটওয়ার্ক থেকে অন্য নেটওয়ার্কে ডেটা পাঠানোর প্রক্রিয়াকে কী বলে?, রাউটার, ব্রাউটার, রাউটিং, হাব,op3
 রাউটিং এর জন্য যে হার্ডওয়ার ব্যবহার করা হয় তাকে কী বলে?, ব্রাউটার, রাউটার, গেটওয়ে, হাব,op1
 কোনো ব্যবহারকারী নেটওয়ার্কের কাজ সঠিকভাবে সম্পন্ন করতে নিচের কোনটি ব্যবহার করতে পারবে?, ফটোকপিয়ার, টেলিফোন, স্ক্যানার, মোবাইল,op3
 নেটওয়ার্ক ফাংশনের প্রধান কাজ কয়টি?,২টি,৩টি,৪টি,৫টি,op2
 কোন টপোলজি বৃত্তাকার?, হাইব্রিড টপোলজি, স্টার টপোলজি, রিং টপোলজি, ট্রি টপোলজি,op3
 একটি কেন্দ্রীয় নিয়ন্ত্রনকারী কম্পিউটারের সাথে একাধিক কম্পিউটারের সংযুক্ত হওয়ার টপোলজিকে,কী বলে?, বাস টপোলজি, রিং টপোলজি, স্টার টপোলজি,op4
 কোন টপোলজির নেটওয়ার্কভূক্ত কম্পিউটারগুলো পরস্পরের মধ্যে সরাসরি সংকেত আদান-প্রদান করতে,পারেনা?, স্টার টপোলজি, রিং টপোলজি, শংকর টপোলজি,op2
 স্টার টপোলজির সম্প্রসারিত রুপ কী?, রিং টপোলজি, শাখা-প্রশাখা টপোলজি, বাস টপোলজি, ট্রি টপোলজি,op2
 কোন নেটওয়ার্কের জন্য কম্পিউটারের হোস্ট কম্পিউটার অপরিহার্য?, বাস টপোলজি, রিং টপোলজি, স্টার টপোলজি, পরস্পর সম্পর্কযুক্ত টপোলজি,op3
 হাইব্রিড টপোলজির উদাহরণ কোনটি?, মডেম, ইন্টারনেট, সার্ভার, মোবাইল ফোন,op2
 ডেটা কমিউনিকেশনের মাধ্যমে হিসেবে ব্যবহৃত হয়-,(i) ফাইবার অপটিক্স,(ii) ক্যাবল,(iii) মডেম,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ডেটা কমিউনিকেশনের উৎস হলো-,(i) কম্পিউটার,(ii) টেলিফোন,(iii) ক্যাবল,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কমিউনিকেশন সিস্টেম ব্যবহৃত হয়-,(i) ই-বিজনেস,(ii) তথ্য বিনিময়,(iii) শিক্ষার ক্ষেত্রে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ডেটা ট্রান্সমিশন পদ্ধতিগুলো হচ্ছে-,(i) Asyncronous,(ii) Synchronous,(iii) Isochronous,নিচের কোনটি সঠিক?,"i, ii ও iii"
 Asynchronous এর সুবিধা হচ্ছে-,(i) বেশি পরিমান ডেটা ট্রান্সফার করা যায়,(ii) সময় কম প্রয়োজন হয়,(iii) খরচ কম লাগে,নিচের কোনটি সঠিক?,ii ও iii
 সিনক্রোন ডেটা ট্রান্সমিশনের বৈশিষ্ঠ্য-,(i) তুলনামূলক খরচ,(ii) তুলনামূলক সহজ,(iii) ট্রেইলার ব্লক ব্যবহারিত হয়,নিচের কোনটি সঠিক?,ii ও iii
 টুইস্টেড পেয়ার ব্যবহৃত হয়-,(i) টেলিফোন নেটওয়ার্কিং-এ,(ii) গ্রাম্য যোগাযোগের ক্ষেত্রে,(iii) ডিশ এন্টেনা,নিচের কোনটি সঠিক?,i ও iii
 অপটিক্যাল ফাইবার তৈরীতে ব্যবহৃত হয়-,(i) কাঁচ,(ii) প্লাস্টিক,(iii) ইস্পাত,নিচের কোনটি সঠিক?,i ও ii
 Wi-Max এর অংশ-,(i) Wi-Max বেস স্টেশন,(ii) Wi-Max রিসিভার,(iii) Wi-Max ট্রান্সরিসিভার,নিচের কোনটি সঠিক?,i ও ii
 Wi-Max এর অংশ -,(i) Wi-Max বাড়ীতে বা মোবাইলে ইন্টারনেটে সংযোগ দিয়ে থাকে,(ii) দূরবর্তী স্থানে ক্ষেত্রে আমরা Wi-Max ব্যবহার করতে পারি,(iii) Wi-Max এ যোগাযোগ সহজ নয়।,নিচের কোনটি সঠিক?,i ও ii
 কয়েকটি সাধারণ নেটওয়ার্ক-,(i) PNA,(ii) MAN,(iii) KAN,নিচের কোনটি সঠিক?,"i, ii ও iii"
 PNA ডিভাইসের উদাহরণ-,(i) ল্যাপটপ,(ii) মডেম,(iii) মোবাইল ফোন,নিচের কোনটি সঠিক?,i ও iii
 আলমগীর কর্তৃক ব্যবহৃত ইন্টারনেট কোন ধরনের কমিউনিকেশন সিস্টেমের উদাহরণ?,তার মাধ্যমে,তারবিহীন মাধ্যমে,টেলিফোন,ধাতব,op2
 সোহেল কোনো ই-মেইল করলে সে কমিউনিকেশন সিস্টেমের কোন উপাদান হবে?,প্রেরক,প্রাপক,প্রটোকল,গন্তব্য,op1
 আলমগীরের ইন্টারনেট কমিউনিকেশন সিস্টেমের কোন ধরনের উপাদান?, Protocol, Destination, Receiver, Medium,op4
 শিক্ষা মন্ত্রণালয়ের অনুষ্ঠানে কারা অংশগ্রহন করতে পারবেন?, ঢাকা শহরের সকল কলেজের, রাজশাহী বোর্ডের কলেজর, শুধুমাত্র নির্দিষ্ট কলেজ, নেটওয়ার্কের অধীনের সকল কলেজ,op3
 উদ্দীপকে যে মোড হিসেবে ডেটা প্রেরণ করা হবে তা হলো-, ইউনিকস্ট মোড, মাল্টিকাস্ট মোড, ব্রডকাস্ট মোড, হাফ ডুপ্লেক্স মোড,op2
 উদ্দীপকে তারের মাধ্যমে নেটওয়ার্ক সংযোগের জন্য প্রয়োজন-,(i) অপটিক্যাল ফাইবার,(ii) টুইস্টেড পেয়ার কেবল,(iii) কো-এক্সিয়াল কেবল,নিচের কোনটি সঠিক?,"i, ii ও iii"
 পাহাড়ী এলাকায় নেটওয়ার্ক মাধ্যম কোনটি হলে সুবিধাজনক?, কো-এক্সিয়াল, অপটিক্যাল ফাইবার, ওয়্যারলেস, টুইস্টেড পেয়ার,op3
 তাদের নেটওয়ার্কটি গড়ে উঠতে পারে?,(i) ক্যাবলের মাধ্যমে,(ii) রেডিও লিংকের মাধ্যমে,(iii) WAN এর মাধ্যমে,নিচের কোনটি সঠিক?,i ও ii
 তাদের কম্পিউটারগুলো নেটওয়ার্ক করার ফলে সকল সুবিধা পাওয়া যায় তা হচ্ছে-,(i)তথ্য আদান-প্রদান,(ii)ই-মেইল আদান-প্রদান,(iii)প্রিন্টার শেয়ার করা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 কো-এক্স ক্যাবলের কেন্দ্র দিয়ে নিচের কোনটি অতিক্রম করে?, কপার মেশ, ইনসুলেশন, সলিড কপার ওয়্যার, কপার কাভার,
 টুস্টেট পেয়ার কেবলের বানিজ্যিক নাম হল-, CAT, BAT, MAT, RAT,
 টুস্টেট পেয়ার কেবল কোন সিগনালে ডেটা ট্রান্সফার করতে পারে-,(i) ডিজিটাল,(ii) এনালগ,(iii) হাইব্রিড,নিচের কোনটি সঠিক?,
 অপ্টিক্যাল ফাইবার কেবলের কয়টি অংশ?, 3টি, 4টি, 5টি, 6টি,
 সাটেলাইট গুলো পৃথিবী থেকে কত কি:মি: দূরুত্বে অবস্থান করে?, ৩৬০ কি:মি:, ৩৬০০ কি:মি:, ৩৬০০০ কি:মি:, ৩৬০০০০ কি:মি:,
 শব্দকে ইলেক্ট্রনিক ডেটায় রূপান্তর করে নেটওয়ার্কের মাধ্যমে দুরবর্তী স্থানে প্রেরণ করা যায়,কোনটির মাধ্যমে?, টেলিগ্রাফ, টাইপরাইটার, ফাক্সমেশিন,
 চিত্র-২ কোন ধরনের টপোলজি?, বাস, রিং, স্টার, হাইব্রিড,
 চিত্র-১ নোডগুলো পরস্পরযুক্ত হলে কোন ধরণের টপোলজি গঠিত হয়?, বাস, রিং, স্টার, মেশ,
 চিত্রের নেটওয়ার্কটি কোন ধরনের টডোলজি?, বাস, রিং, স্টার, মেশ,
 A ও B এর মধ্যে র্সবোচ্চ গতিতে ডেটা আদান-প্রদানের জন্য করা উচিৎ-,(i) HUB এর পরির্বতে Switch ব্যবহার,(ii) HUB এর পরির্বতে রাউটার ব্যবহার,(iii) Twisted pair cable এর পরির্বতে রাউটার optical fiber cable ব্যবহার,নিচের কোনটি সঠিক?,
